Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
spring-cloud-alibaba,com.alibaba.cloud.integration.account,AccountServiceApplication,0,0,1,1,8,1,0,0,-1.0,0,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\AccountServiceApplication.java,22
spring-cloud-alibaba,com.alibaba.cloud.integration.account.controller,AccountController,1,0,2,2,18,2,0,0,0.0,0,3,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\controller\AccountController.java,31
spring-cloud-alibaba,com.alibaba.cloud.integration.account.dto,AccountDTO,2,0,4,4,19,4,0,0,0.5,1,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\dto\AccountDTO.java,19
spring-cloud-alibaba,com.alibaba.cloud.integration.account.mapper,AccountMapper,0,0,2,0,7,2,0,0,-1.0,1,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\mapper\AccountMapper.java,28
spring-cloud-alibaba,com.alibaba.cloud.integration.account.service,AccountService,0,0,2,0,7,2,0,0,-1.0,1,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\service\AccountService.java,22
spring-cloud-alibaba,com.alibaba.cloud.integration.account.service.impl,AccountServiceImpl,2,0,3,2,29,6,0,0,0.0,0,2,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-account\src\main\java\com\alibaba\cloud\integration\account\service\impl\AccountServiceImpl.java,33
spring-cloud-alibaba,com.alibaba.cloud.integration.common,BusinessException,0,0,1,1,8,1,0,0,-1.0,0,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\BusinessException.java,19
spring-cloud-alibaba,com.alibaba.cloud.integration.common,IResult,0,0,2,0,12,2,1,0,-1.0,1,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\IResult.java,19
spring-cloud-alibaba,com.alibaba.cloud.integration.common,Result,3,0,14,14,55,14,0,0,0.2857142857142857,6,2,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\Result.java,19
spring-cloud-alibaba,com.alibaba.cloud.integration.common,ResultEnum,2,0,0,0,31,0,0,1,-1.0,1,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-common\src\main\java\com\alibaba\cloud\integration\common\ResultEnum.java,19
spring-cloud-alibaba,com.alibaba.cloud.integration.frontend.controller,IntegrationController,0,0,3,3,15,3,0,0,-1.0,0,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-frontend\src\main\java\com\alibaba\cloud\integration\frontend\controller\IntegrationController.java,22
spring-cloud-alibaba,com.alibaba.cloud.integration.frontend,FrontendApplication,0,0,1,1,9,1,0,0,-1.0,0,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-frontend\src\main\java\com\alibaba\cloud\integration\frontend\FrontendApplication.java,22
spring-cloud-alibaba,com.alibaba.cloud.integration.gateway.config,GatewayConfig,2,0,7,7,41,7,0,0,0.8571428571428571,0,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\config\GatewayConfig.java,51
spring-cloud-alibaba,com.alibaba.cloud.integration.gateway,GatewayApplication,0,0,1,1,8,1,0,0,-1.0,0,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-gateway\src\main\java\com\alibaba\cloud\integration\gateway\GatewayApplication.java,23
spring-cloud-alibaba,com.alibaba.cloud.integration.order.controller,OrderController,1,0,1,1,16,1,0,0,0.0,0,2,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-order\src\main\java\com\alibaba\cloud\integration\order\controller\OrderController.java,29
spring-cloud-alibaba,com.alibaba.cloud.integration.order.entity,Order,7,0,15,15,57,15,0,0,0.0,2,0,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-order\src\main\java\com\alibaba\cloud\integration\order\entity\Order.java,21
spring-cloud-alibaba,com.alibaba.cloud.integration.order.feign,AccountServiceFeignClient,0,0,1,0,6,1,0,0,-1.0,1,1,D:\IDE\DesigniteJava\3130A4\spring-cloud-alibaba\spring-cloud-alibaba-examples\integrated-example\integrated-order\src\main\java\com\alibaba\cloud\integration\order\feign\AccountServiceFeignClient.java,26
